Operator Company	Exchange	Project Ownership	Project Name	Commodities	Resource	Stage	Project Country	Project State Or Province	Longitude	Latitude	Mineral District	Project Area Ha	Project Area Ha	Project Area Ha	Project Area Ha	Project Area Ha	Project Area Ha	Project Area Ha	Verified Project Area Ha	Article Link	Contact/CEO	Aggregate Deal Value ($)	Interest Acquired %	Acquisition Details	Option Period (y)	Aggregate deal value ($)	Sum of Cash Payments ($)	Exploration commitments ($)	Cash + Shares ($)	Calculated Cash + Share value column ($)	Share Value ($)	sum of Cash + Calculated Share value ($)	Calculated Share Value ($)	Number of Shares sold	Share Price ($)	NSR %	Article Date
Castle Minerals Limited	ASX:TMG	Operator: Castle Minerals Limited  Owner: Castle Minerals Limited (100%)	Polelle	Au	7,450 kt @ 2.8 g/t Au (668,000 oz)	Advanced Exploration	Australia	Western Australia	118.5180276	-26.81399031		14857.44	3855645.758	3855645.758			GBR:Revised option agreement - Polelle and Wanganui projects	Project Acquisition	  -   	https://app.mininghub.com/article/84496	Andrew Paterson, Managing Director		75%	Option to acquire 75% interest in Polelle and Wanganui Projects (by Great Boulder from Castle Minerals)			-	600000		#VALUE!	100000	#VALUE!	#VALUE!	-	0.094		19/01/2025 16:20:35
Macro Metals Limited	ASX:TVN	Operator: Macro Metals Limited  Owner: Macro Metals Limited (80%) Owner: WA Limestone Pty Ltd (20%)	Port Hedland Logistics Hub	Mn		Advanced Exploration	Australia	Western Australia	118.8875375	-20.42756463		4768.39	31659340.224	31659340.224			Macro Secures Logistics, Accommodation & Raw Materials Hub	Project Acquisition	  4,773 	https://app.mininghub.com/article/79739	Simon Rushton, Managing Director		80%	Agreement to acquire 80% interest in E45/3612, E45/4641 and M45/1233 (Acquired Tenements) and 80% of certain mineral rights on M45/1308, M45/1285 and M45/1249 (Mineral Rights Tenements) (by Macro from WAL)			-	-		#VALUE!		#VALUE!	#VALUE!	-	0.01	1.5	24/11/2024 16:03:43
Heavy Rare Earths Limited	ASX:IG6	Operator: Heavy Rare Earths Limited  Owner: Havilah Resources Limited (20%) Owner: Heavy Rare Earths Limited (80%) Optioner: Havilah Resources Limited, Optionee: Heavy Rare Earths Limited	Prospect Hill	Sn		Early Stage	Australia	South Australia	139.5429483	-29.77350817		4466.09	5200847.05	5200847.05			Acquisition timetable update	Financing,Project Acquisition	  -   	https://app.mininghub.com/article/83188	Richard Brescianini, Executive Director			This is an update on a previously announced acquisition; no new acquisition percentage stated. Refers to acquisition of three uranium projects.			-	-		#VALUE!		#VALUE!	#VALUE!	-	0.035		01/01/2025 19:35:15
Leviathan Gold Ltd.	ASX:SVY	Operator: Leviathan Gold Ltd.  Owner: Leviathan Gold Ltd. (100%)	Queen's Birthday	Au		Early Stage	Australia	Victoria	143.6711879	-36.7913729		1894.42	3091438	3091438	https://www.leviathangold.com	https://www.leviathangold.com	Leviathan Gold granted new Exploration License over the former Queen's Birthday Mine in Victoria, Australia	Project Acquisition	  1,900 	https://app.mininghub.com/article/40175	Luke Norman, Chief Executive Officer						-	-		#VALUE!		#VALUE!	#VALUE!	-			31/08/2023 06:30:00
Rimfire Pacific Mining Limited	ASX:IVR	Operator: Rimfire Pacific Mining Limited  Owner: Rimfire Pacific Mining Limited (100%)	Rabbit Trap	Sc	15Kt Scandium	Early Stage	Australia	New South Wales	147.5183332	-32.30166677		14505.68	57911559.539	57911559.539			RIM: Rimfire expands Scandium exposure in Central NSW	Project Acquisition	  -   	https://app.mininghub.com/article/77378	Mr David Hutton, Rimfire’s Managing Director		100%	Option to purchase 100% of EL 8666 (Javelin Tenement) (by Rimfire from Javelin Minerals)			-	-		#VALUE!	425000	#VALUE!	#VALUE!	-	0.018		30/10/2024 20:47:20
Dart Mining NL	SXGC:CA	Operator: Dart Mining NL  Owner: Dart Mining NL (100%)	Raglan	Au	approx. 118,000oz Au	Early Stage	Australia	Queensland	150.7834421	-23.77233827		19128.50	3438819.57	3438819.57			Dart Moves on Raglan Goldfield	Project Acquisition	  19,200 	https://app.mininghub.com/article/86711	James Chirnside, Dart Mining Chairman		100%	of new EPM 29171 application (Raglan Goldfield) (by Dart Mining)			-	-		#VALUE!		#VALUE!	#VALUE!	-	0.004		03/02/2025 17:00:27
Miramar Resources Limited	ASX:IVR	Operator: Miramar Resources Limited  Owner: Miramar Resources Limited (100%)	Randalls	Au		Early Stage	Australia	Western Australia	122.1063814	-30.76809309		32725.54	1825387.108	1825387.108			Randalls Tenement Applications Expand Land Position	Project Acquisition	  -   	https://app.mininghub.com/article/90026	Mr Allan Kelly, Miramar’s Executive Chairman		100%	of new Exploration Licence applications E25/659 and E28/3510 (Randalls Project) (by Miramar)			-	-		#VALUE!		#VALUE!	#VALUE!	-	0.003		04/03/2025 15:21:03
Bulletin Resources Limited	ASX:CMM	Owner: Bulletin Resources Limited (100%)	Ravensthorpe	Li	5 Mt @ 0.05% Li2O	Early Stage	Australia	Western Australia	119.8791766	-33.63748631		5716.81	14680666.15	14680666.15			30 June 2023 Quarterly Report	Project Acquisition	  13,000 	https://app.mininghub.com/article/60876	Paul Poli, Chairman		100%	This article is a quarterly report; refers to prior acquisition of Ravensthorpe Lithium Project (100%) and other ongoing projects.			576000	-		576000		#VALUE!	#VALUE!	-	0.062		31/07/2023 02:02:23
CopperCorp Resources Inc.	ASX:GL1	Operator: CopperCorp Resources Inc.  Owner: CopperCorp Resources Inc. (100%)	Razorback	Cu,Au	140Mt @ 0.84% Cu	Early Stage	Australia	Tasmania	145.5717727	-42.20611991		19716.99	7507338	7507338	https://www.coppercorpinc.com	https://www.coppercorpinc.com	CopperCorp Acquires Strategic New Ground Adjoining Razorback Property	Project Acquisition	  17,100 	https://app.mininghub.com/article/70097	Stephen Swatton, President, CEO & Director						-	2450000		#VALUE!		#VALUE!	#VALUE!	-			03/09/2024 05:00:00
Southern Cross Gold Consolidated Ltd	ASX:TMB	Operator: Southern Cross Gold Consolidated Ltd  Owner: Southern Cross Gold Consolidated Ltd (70%) Owner: Nagambie Resources Limited (30%)	Redcastle	Au	415,000 tonnes @ 16.7 g/t Au equivalent	Advanced Exploration	Australia	Victoria	144.7821923	-36.79395562		5679.37	14459442.192	899825680		https://www.mawsongold.com	Sale of Remaining 30% Interest in Redcastle Tenements	Project Acquisition	  187 	https://app.mininghub.com/article/75947	James Earle, CEO		100%	Acquisition of 100% of prospecting licence application P 39/6315 (by Redcastle)			250000	-		250000		#VALUE!	#VALUE!	-	5.15	1.5	24/10/2024 16:32:32
Zincore Metals Corp.	ASX:AVW	Operator: Zincore Metals Corp.  Owner: Great Pacific Gold Corp. (100%) Optioner: Great Pacific Gold Corp., Optionee: Zincore Metals Corp.	Reedy Creek	Au		Early Stage	Australia	Victoria	145.1934833	-37.27648945		25578.51	36595419		https://fostervillesouth.com		Great Pacific Gold to Sell Reedy Creek for $1 million Cash on Closing, $3 million Cash on Milestones and 6 million Shares of Canadian Issuer	Project Acquisition	  360 	https://app.mininghub.com/article/80805	Greg McCunn, CEO		100%	Option to acquire 100% of Reedy Creek Garnet Project (M80/416) (by Pure Resources, option exercised)			4000000	-		4000000		4048000	48000	6000000	0.008	2	03/12/2024 15:30:00
Itech Minerals Ltd	MYR:CNX	Operator: Itech Minerals Ltd  Owner: Itech Minerals Ltd (100%) Optioner: Itech Minerals Ltd, Optionee: Sociedad Quimica y Minera NSR: Prodigy Gold NL (1%)	Reynolds Range	Au,Li	182.0 g/t Au	Advanced Exploration	Australia	Northern Territory	132.6846044	-22.10903948		37450.80	3175055.551	6491744.744			Completion of iTech Acquisition of Reynolds Range Project	Project Acquisition,Royalties and Streams	  37,500 	https://app.mininghub.com/article/67705	Mike Schwarz, Managing Director		100%	Application for 100% of new tenement EL 33881 (Reynolds Range) (by iTech Minerals)			100000	-		100000		#VALUE!	#VALUE!	-	0.034	1	06/08/2024 17:21:56
CZR Resources Ltd	ASX:TMG	Operator: CZR Resources Ltd  Owner: CZR Resources Ltd (100%)	Robe Mesa	Fe		Advanced Exploration	Australia	Western Australia	116.0057586	-21.63238849		18632.07	66285701.16	66285701.16			Non-Binding, Indicative and Conditional Offer Robe River JV	Project Acquisition	  -   	https://app.mininghub.com/article/92025	Stefan Murphy, Managing Director		100%	Proposed 100% acquisition of CZR's Robe Mesa Iron Ore project tenements by Robe River JV			50250000	-		50250000		#VALUE!	#VALUE!	-	0.245		20/03/2025 17:24:11
Thunderbird Resources Limited	NGT:CA	Operator: Thunderbird Resources Limited  Owner: Kooky Resources (100%) Optioner: Kooky Resources, Optionee: Thunderbird Resources Limited	Rockvale	Sb,Au	16.8Mt @ 0.73g/t Au (396,800 oz Au)	Early Stage	Australia	New South Wales	151.8821629	-30.44579867		35790.18	3288972.708	3288972.708			Acquisition of Highly Prospective Antimony and Gold Projects	Project Acquisition	  48,800 	https://app.mininghub.com/article/78576	George Bauk, Thunderbird Executive Chairman		100%	Acquisition of 100% interest in exploration portfolio (EL9053 & EL9147 via Kooky Resources acquisition) (by Thunderbird Resources)			1850000	-	1700000	1850000		2740625	890625	59375000	0.015	1.5	12/11/2024 16:53:47
Alligator Energy Limited	ASX:TAR	Operator: Alligator Energy Limited  Owner: Alligator Energy Limited (100%)	Samphire	U		Advanced Exploration	Australia	South Australia	137.3727536	-33.14925949		49045.54	96839983.625	96839983.625			Significant Marketing Progress - Traxys Relationship	Project Acquisition,Marketing	  -   	https://app.mininghub.com/article/56510	Greg Hall, Alligator’s CEO and Managing Director			This article is a market update, refers to previous Traxys agreement for marketing and potential financing, not a project equity acquisition.			-	-		#VALUE!	125000	#VALUE!	#VALUE!	-	0.032		12/06/2023 17:30:46
Tivan Limited	ASX:RTR	Operator: Tivan Limited  Owner: Tivan Limited (100%)	Sandover Additional Claims	Fluorite	254,600 short tons @ 37.4% CaF2	Early Stage	Australia	Northern Territory	135.8009243	-22.7414239		22751.46	178685203.791	178685203.791			Tivan acquires second Fluorite Project	Project Acquisition	  -   	https://app.mininghub.com/article/79494	Grant Wilson		100%	Acquisition of ~30% of EL22349 and 100% of specified Mining Leases (Sandover Fluorite Project) (by Tivan from Investigator/Thor JV)			720250	-		720250		#VALUE!	#VALUE!	-	0.11		20/11/2024 15:37:22
Great Boulder Resources Ltd	TSX:NVO	Operator: Great Boulder Resources Ltd  Owner: Great Boulder Resources Ltd (100%) Optioner: Castle Minerals Limited, Optionee: Great Boulder Resources Ltd	Side Well	Au	7,450 kt @ 2.8 g/t Au containing 668,000 oz Au	Advanced Exploration	Australia	Western Australia	118.6018834	-26.56885163		18464.65	50859722.378	50859722.378			Key tenement acquisitions expand Side Well Gold Project	Project Acquisition	  -   	https://app.mininghub.com/article/72244	Andrew Paterson, Great Boulder’s Managing Director		80%	Acquisition of 80% interest in seven Prospecting Licences and one Exploration Licence (Side Well South) (by Great Boulder from Mark Selga/Wanbanna)			-	-	160000	#VALUE!	80000	#VALUE!	#VALUE!	-	0.07		23/09/2024 16:23:11
S2 Resources Ltd	ASX:GRV	Operator: S2 Resources Ltd  Owner: Valkea Resources Corp. (100%) Optioner: Valkea Resources Corp., Optionee: S2 Resources Ltd	Silver Spoon	Au,Ag		Early Stage	Australia	Victoria	144.699234	-36.80603672		5552.05	9834939	40757219.37	https://www.outbackgoldfields.com		OUTBACK GRANTED SILVER SPOON EXPLORATION LICENCE NEAR FOSTERVILLE GOLD MINE	Project Acquisition	  -   	https://app.mininghub.com/article/35865	Mark Bennett, Executive Chairman						-	280000		#VALUE!		#VALUE!	#VALUE!	-		2	30/05/2023 06:00:00
CopperCorp Resources Inc.	NVO:CA	Operator: CopperCorp Resources Inc.  Owner: CopperCorp Resources Inc. (100%)	Skyline	Cu,Zn,Pb,Ag,Au	140Mt @ 0.84% Cu	Early Stage	Australia	Tasmania	145.7033147	-41.78559165		37055.67	7507338	7507338	https://www.coppercorpinc.com	https://www.coppercorpinc.com	CopperCorp Granted New Exploration Licence EL11/2024 Adjacent to Razorback Property	Project Acquisition	  -   	https://app.mininghub.com/article/82043	Stephen Swatton, President and CEO						-	-		#VALUE!		#VALUE!	#VALUE!	-			16/12/2024 06:15:00
Boab Metals Limited	ASX:NPM	Operator: Boab Metals Limited  Owner: Boab Metals Limited (100%)	Sorby Hills	Zn,Ag,Pb	47.3 Mt @ 3.1% Pb (1,465 kt Pb)	Advanced Exploration	Australia	Western Australia	128.968239	-15.44821769		4156.48	26840437.19	26840437.19			BML to Acquire 100% of Sorby Hills	Project Acquisition	  -   	https://app.mininghub.com/article/72123	Simon Noon, Boab Managing Director and CEO		25%	Option for Boab to acquire remaining 25% interest in Sorby Hills Project (from Yuguang) to move to 100%			15410000	-		15410000		#VALUE!	#VALUE!	-	0.16	4.3	22/09/2024 17:36:24
Chariot Corporation Ltd	ASX:SLB	Operator: Chariot Corporation Ltd  Owner: Chariot Corporation Ltd (100%)	Southern Cross	Li	189Mt @ 1.53% Li₂O	Early Stage	Australia	Western Australia	119.6290404	-31.77045608		9628.40	10145070.365	10145070.365			High-Potential WA Lithium & Gold Tenements Secured	Project Acquisition	  19,700 	https://app.mininghub.com/article/88292	Shanthar Pathmanathan, Managing Director		100%	of seven new exploration licence applications (Southern Cross Greenstone Belt) (by Chariot)			1000000	-		1000000		#VALUE!	#VALUE!	-	0.071		18/02/2025 16:24:38
Trigg Minerals Limited	ASX:DTM	Operator: Trigg Minerals Limited  Owner: Trigg Minerals Limited (100%)	Spartan	Sb	7.2 Mt @ 1.3% Sb (93 kt Sb)	Early Stage	Australia	New South Wales	151.820679	-30.42808671		7987.68	25868357.06	25868357.06			EXPANSION OF ULTRA HIGH GRADE ANTIMONY PORTFOLIO UP TO 57%Sb	Project Acquisition	  28,809 	https://app.mininghub.com/article/75676	Timothy Morrison, Trigg Minerals Executive Chair		100%	Acquisition of 100% of Spartan West (ELA 6821 from Obscure Minerals) and Taylors Arm East (ELA 6802 from Pinpoint Prospecting) applications (by Trigg)			10000	-	235000	235000	225000	307000	297000	4500000	0.066		22/10/2024 18:04:08
Tivan Limited	ASX:SRI	Operator: Tivan Limited  Owner: Tivan Limited (100%)	Speewah	Fluorite,V		Early Stage	Australia	Western Australia	127.9567332	-16.33974031		21007.44	178685203.791	178685203.791			KRR:$1.6million payment received for sale of Speewah Project	Project Acquisition	  18,100 	https://app.mininghub.com/article/64355	Grant Wilson		100%	Update on acquisition of 100% of Speewah Project (by Tivan from KRR - payment made)			4000000	-	20000000	14000000	10000000	15000000	11000000	100000000	0.11		07/07/2024 23:22:31
International Graphite Limited	ASX:GBZ	Operator: International Graphite Limited  Owner: International Graphite Limited (100%)	Springdale	Graphite		Advanced Exploration	Australia	Western Australia	120.4500521	-33.80802286		45930.70	8903683.18	8903683.18			Mining lease granted for Mason Bay	Project Acquisition	  -   	https://app.mininghub.com/article/77987	Andrew Worland, Managing Director and Chief Executive Officer		100%	of granted mining lease M47/0253 (Springdale - Mason Bay) (to International Graphite)			-	-		#VALUE!		#VALUE!	#VALUE!	-	0.048		06/11/2024 16:12:07
Stavely Minerals Limited	ASX:CR1	Operator: Stavely Minerals Limited  Owner: Stavely Minerals Limited (100%)	Stavely	Cu, Au			Australia	Victoria	142.6880365	-37.62175155		146065.18	8160631.395	8160631.395			Stavely Minerals Acquires Prospective WA Ni-Cu-Co Project	Joint Venture,Project Acquisition	  180,000 	https://app.mininghub.com/article/56121	Mr Chris Cairns, Stavely Minerals Executive Chair and Managing Director		100%	Acquisition of 100% of North West Nickel Pty Ltd (holding Hawkstone Project) (by Stavely from Chalice)			50000	-	1400000	1400000	1350000	#VALUE!	#VALUE!	-	0.012		22/05/2023 20:46:32
Discover Co	ASX:TG6	Operator: Discover Co  Owner: Discover Co (100%) NSR: Investigator Resources Ltd (1%)	Stuart Shelf	Cu		Advanced Exploration	Australia	South Australia	137.0137523	-32.0629771		428384.48	30188711.906				Sale of Stuart Shelf JV and Tenements	Project Acquisition	  -   	https://app.mininghub.com/article/71398	Andrew McIlwain, Managing Director		49%	Sale of 49% JV interest in Stuart Shelf (ELs 6402, 6640, 6641, 6642, 6643) and 100% of Lake McFarlane tenements (ELs 6754, 6853, 6858, 6909, 6981) (by Investigator to Discover Co)			1000000	-		1000000		#VALUE!	#VALUE!	-		1	15/09/2024 16:50:21
Southern Cross Gold Consolidated Ltd	ASX:M4M	Operator: Southern Cross Gold Consolidated Ltd  Owner: Southern Cross Gold Consolidated Ltd (100%)	Sunday Creek	Au		Advanced Exploration	Australia	Victoria	145.1190487	-37.30522378		16569.50	899825680	899825680	https://www.mawsongold.com	https://www.mawsongold.com	SXG Enters Agreement to Acquire Land	Project Acquisition	  -   	https://app.mininghub.com/article/73795	Michael Hudson, Interim CEO and Executive Chairman						1273000	-		1273000		1493886.7	220886.7	22088670	0.01		04/10/2024 04:30:00
Investigator Resources Ltd	ASX:MOH	Operator: Investigator Resources Ltd  Owner: Alliance Resources (100%) Optioner: Alliance Resources, Optionee: Investigator Resources Ltd	Sunday Iron	Fe		Advanced Exploration	Australia	South Australia	136.2106373	-32.76351724		41272.25	30188711.906	30188711.906			Earn-In agreement to silver opportunity next to Paris	Project Acquisition	  -   	https://app.mininghub.com/article/98247	Andrew Shearer, Investigator’s Acting Managing Director		80%	Earn-in to acquire up to 80% interest in EL6475 (Black Hill tenement) (by Investigator from Alliance Resources)			-	500000		#VALUE!	500000	#VALUE!	#VALUE!	-	0.022	1	31/03/2025 16:56:55
Capricorn Metals Ltd	ASX:CUF	Operator: Capricorn Metals Ltd  Owner: Capricorn Metals Ltd (100%) NSR: Latitude 66 Limited (1%) NSR: Latitude Uranium Inc. (1.5%)	Sylvania	Au	98.5 Mt @ 0.7 g/t Au, 2.25 Moz Au contained	Early Stage	Australia	Western Australia	119.2216022	-23.62374527		173848.54	3356776989.09	3356776989.09			LAT: Sale of Sylvania Project to Capricorn Metals Limited	Project Acquisition	  174,000 	https://app.mininghub.com/article/81254	Mark Clark, Executive Chairman		100%	Sale of 100% of Sylvania Project (by Latitude 66 to Capricorn Metals)			1500000	-		3000000	1500000	#VALUE!	#VALUE!	-	9.38	1	08/12/2024 15:21:35
Global Lithium Resources Limited	ASX:ANX	Operator: Global Lithium Resources Limited  Owner: Global Lithium Resources Limited (100%)	Talga	Cu,Au,Li	69.6 Mt @ 1.00% Li2O	Early Stage	Australia	Western Australia	119.9308171	-20.93761235		21112.63	2135325.745	44494460.91			Sale of Talga to GL1 Agreed - Focus on Antimony at Yallalong	Project Acquisition	  -   	https://app.mininghub.com/article/80842	Ron Mitchell, Global Lithium Executive Chairman		100%	Sale of 100% of Talga Project (by Octava Minerals to Global Lithium)			200000	-	400000	400000	200000	#VALUE!	#VALUE!	-	0.16	0.75	03/12/2024 16:49:48
Tambourah Metals Ltd	ASX:GBR	Operator: Tambourah Metals Ltd  Owner: Tambourah Metals Ltd (100%)	Tambina	Li		Early Stage	Australia	Western Australia	119.1754208	-21.60470172		412.22	3880471.518	3880471.518			Tambourah Adds Advanced Tambina Gold Project	Project Acquisition	  -   	https://app.mininghub.com/article/81379	Rita Brooks, Executive Chairperson		100%	of granted tenement P45/3205 (Tambina Gold Project) (to Tambourah Metals)			-	-		#VALUE!		#VALUE!	#VALUE!	-	0.023		09/12/2024 16:05:47
Avira Resources Ltd	ASX:DUN	Operator: Avira Resources Ltd  Owner: Avira Resources Ltd (100%)	Tangadee	Cu,Ni,Zn		Early Stage	Australia	Western Australia	118.4928718	-24.31382212		77762.80	1175517.952	1175517.952			Capital Raising and Tangadee Acquisition	Financing,Project Acquisition	  77,900 	https://app.mininghub.com/article/92774	David Deloub, Executive Director		100%	Acquisition of 100% of exploration licence E52/4413 (Tangadee Project) (by Avira from Resminex)			-	-		#VALUE!	75000	#VALUE!	75000.002	10714286	0.007	1.25	27/03/2025 17:42:52
Meryllion Resources Corporation 	LON:COBR	Operator: Meryllion Resources Corporation   Owner: Tasmania Strategic Green Metals Pty Ltd. (100%) Optioner: Tasmania Strategic Green Metals Pty Ltd., Optionee: Meryllion Resources Corporation 	Tasmania Rare Earth	REE		Early Stage	Australia	Tasmania	146.7605147	-41.4613408			422871	422871	https://www.meryllionresources.com	https://www.meryllionresources.com	Meryllion Increases Tenement Position in Tasmanian IAC Rare Earth Project	Project Acquisition	  85,200 	https://app.mininghub.com/article/41826	Richard Revelins, Chief Executive Officer						180000	-	324000	594000	414000	180000	0	4186046			03/10/2023 05:45:00
Trigg Minerals Limited	ASX:SPR	Operator: Trigg Minerals Limited  Owner: Trigg Minerals Limited (100%)	Taylors Arm	Sb	63.0% Sb	Early Stage	Australia	New South Wales	152.7038826	-30.72109917		33460.96	25868357.06	25868357.06			ACQUISITION OF HIGH-GRADE ANTIMONY PORTFOLIO UP TO 63% Sb	Project Acquisition	  28,800 	https://app.mininghub.com/article/71983	Timothy Morrison, Trigg Minerals Executive Chair		100%	Acquisition of 100% of Spartan and Taylors Arm Antimony Projects (one granted EL, one ELA) (by Trigg from Bullseye Gold)			-	-		#VALUE!	850000	#VALUE!	7012500	106250000	0.066		19/09/2024 17:10:17
Newmont Corporation	ASX:ALB	Operator: Newmont Corporation  Owner: Newmont Corporation (100%) Optioner: Newmont Corporation, Optionee: Greatland Gold PLC	Telfer	Au,Cu		Mining	Australia	Western Australia	122.2498417	-21.72335036		93140.18	70992247725	70992247725	https://www.newmont.com	https://www.newmont.com	Newmont Announces Agreement to Divest Telfer and Havieron for Up to $475M	Project Acquisition	  -   	https://app.mininghub.com/article/70938	Logan Hennessey, Group Head, Company Secretary			Divestment of Telfer and Havieron (by Newmont - this is a news release about a prior announcement)			307500000	-	475000000	474500000	167000000	#VALUE!	#VALUE!	-			10/09/2024 10:05:00
Taruga Minerals Limited	ASX:CUL	Operator: Taruga Minerals Limited  Owner: Western Silver Pty Ltd  (100%) Optioner: Western Silver Pty Ltd , Optionee: Taruga Minerals Limited	Thowagee	Ag,Au,Pb,Cu	35 g/t	Advanced Exploration	Australia	Western Australia	115.525	-22.95		3154.90	6354241.065	6354241.065			Option to acquire strategic tenement - Gascoyne WA	Project Acquisition	  3,150 	https://app.mininghub.com/article/79329	David Chapman, Director		100%	Option to acquire 100% of granted tenement E08/3245 (Thowagee) (by Taruga from Western Silver)			15000	-		100000	85000	#VALUE!	#VALUE!	-	0.008		19/11/2024 15:18:31
Rumble Resources Limited	ASX:SLS	Operator: Rumble Resources Limited  Owner: Rumble Resources Limited (100%)	Thunderstorm	Au		Early Stage	Australia	Western Australia	123.8727591	-31.45693248		34835.25	30044226.88	30044226.88			Rumble Acquires 100% of the Thunderstorm Gold Project	Project Acquisition	  34,800 	https://app.mininghub.com/article/98798	Peter Harold, Managing Director and CEO		70%	Acquisition of outstanding 70% in three exploration tenements (Thunderstorm Gold Project) to move to 100% (by Rumble from IGO)			-	-		#VALUE!	300000	#VALUE!	#VALUE!	-	0.025	1.05	06/04/2025 15:26:24
Novo Resources Corp.	EMX:US	Operator: Novo Resources Corp.  Owner: Manhattan Corporation Limited (100%) Optioner: Manhattan Corporation Limited, Optionee: Novo Resources Corp.	Tibooburra	Au	1.5 Mt @ 6.6 g/t Au (320 koz Au)	Early Stage	Australia	New South Wales	141.8184065	-29.70643391		63090.71	4228180.164	31916725		https://www.novoresources.com	NVO: Strengthens Portfolio w/ Two High-Grade Gold Projects	Project Acquisition	  63,100 	https://app.mininghub.com/article/81915	Mike Spreadborough, Executive Co-Chairman and Acting Chief Executive Officer		80%	Option for Novo to acquire 80% in Micks Bull tenement (EL9121) and 70% in John Bull tenement (EL8389) (from TechGen); Option for Novo to acquire 70% in Tibooburra Project (from Manhattan)			1005000	800000		1005000		1155000	150000	1500000	0.1		13/12/2024 03:14:30
Greenvale Energy Ltd	ASX:CTN	Operator: Greenvale Energy Ltd  Owner: Gempart (NT) Pty Ltd. (100%) Optioner: Gempart (NT) Pty Ltd., Optionee: Greenvale Energy Ltd	Tobermorey	U	9.45Mt @ 382ppm U3O8 for 8.03 Mlbs U3O8	Early Stage	Australia	Northern Territory	137.8897274	-22.3138951		61306.45	24121173.824	24121173.824			Greenvale acquires Tobermorey Uranium Project in the NT	Project Acquisition	  97,100 	https://app.mininghub.com/article/74818	Mark Turner, Greenvale CEO		80%	Acquisition of initial 80% interest in Tobermorey Uranium Project (EL33692, EL33621) (by Greenvale from Gempart)			10000	-		10000		#VALUE!	#VALUE!	-	0.041	1.5	15/10/2024 16:32:27
Novo Resources Corp.	TSXV:OZ	Operator: Novo Resources Corp.  Owner: Novo Resources Corp. (100%)	Toolunga	Au	2.1 Mt @ 8.4 g/t Au containing 570 koz Au	Early Stage	Australia	Western Australia	115.4810417	-22.13340248		152314.97	31916725	31916725	https://www.novoresources.com	https://www.novoresources.com	Novo Secures Strategic Land Position in the Onslow District Western Australia	Project Acquisition	  89,000 	https://app.mininghub.com/article/81510	Mike Spreadborough, Executive Co-Chairman and Acting Chief Executive Officer		70%	Option for Novo to acquire 70% interest in Cane River Project (from OD4 Rocklea); Novo acquires 100% of six new pegged EL applications (Toolunga Project)			67000	-		134000	67000	#VALUE!	#VALUE!	-			10/12/2024 08:27:00
NewPeak Metals Limited	ASX:NPM	Operator: NewPeak Metals Limited  Owner: NewPeak Metals Limited (100%) NSR: Yacimiento Pty Ltd (2%)	Treuer Range	U,V	7.5 MT @ 0.13% U3O8 and 0.119% V2O5	Early Stage	Australia	Northern Territory	131.0545021	-22.24707869		23004.84	3864860.772	3864860.772			Acquisition of Treuer Range Uranium - Vanadium Project	Project Acquisition	  -   	https://app.mininghub.com/article/65530	Mr David Mason, Chief Executive Officer		100%	Acquisition of 100% of Treuer Range Uranium-Vanadium Project (Permit EL 33611) (by NewPeak from Yacimiento - SPA executed)			5000000	-		5350000	350000	5326666.662	326666.662	23333333	0.014	2	18/07/2024 16:16:48
Stelar Metals Limited	ASX:SLB	Owner: Stelar Metals Limited (100%)	Trident	Li, Cs, Ta, Sn, Rb		Early Stage	Australia	New South Wales	141.5873595	-31.50177902		26041.07	4004149.275	4004149.275			Inaugural Drill Program Commenced at Trident Lithium Project	Drill Program,Project Acquisition	  26,000 	https://app.mininghub.com/article/62609	Colin Skidmore, Stelar Metals CEO		90%	Completion of acquisition of 90% stake in Trident Lithium Project (by Stelar Metals)			-	-		#VALUE!		#VALUE!	#VALUE!	-	0.054		15/11/2023 17:59:45
Dart Mining NL	ASX:DTM	Operator: Dart Mining NL  Owner: Dart Mining NL (100%)	Triumph	Au	5.45mt @ 1.1g/t Au containing 192,744 oz Au	Advanced Exploration	Australia	Queensland	151.3706298	-24.299397		13430.21	3438819.57	3438819.57			Queensland EMP Application at Triumph Project	Project Acquisition	  13,760 	https://app.mininghub.com/article/72431	James Chirnside, Dart Mining Chairman		100%	Application for 100% of new EPM 29097 (by Dart Mining, adjacent to Triumph Gold Project)			950000	-		950000		1283333.332	333333.332	83333333	0.004		24/09/2024 17:19:07
Sipa Resources Limited	ASX:SRI	Operator: Sipa Resources Limited  Owner: Sipa Resources Limited (100%)	Tunkillia North	Ni,Au	100,000 gold ounces	Early Stage	Australia	South Australia	134.748555	-31.09054884		11862.10	4580381.542	4580381.542			Acquisition of Gold Exploration Assets and Capital Raising	Financing,Project Acquisition	  75,900 	https://app.mininghub.com/article/82527	Andrew Muir, Managing Director		100%	Acquisition of 100% interest in four gold projects (Tunkillia North, Nuckulla Hill, Skye (SA) & Crown (WA)) (by Sipa Resources - Investor Presentation referring to prior announcement)			200000	-	22000000	1450000	1250000	1360900	1160900	89300000	0.013	1	18/12/2024 17:17:14
